symbol,0,1,2,3,4
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
Jiim,0.1226,0.085,0.1126,0.1998,0.1308
Jiim,0.1464,0.1724,0.1292,0.3512,0.3054
Jiim,0.091,0.06760000000000001,0.13140000000000002,0.2792,0.3694
Jiim,0.0834,0.0434,0.1558,0.2786,0.3504
Jiim,0.0754,0.044,0.1172,0.3298,0.32
Jiim,0.1,0.0846,0.1096,0.4008,0.318
Jiim,0.0868,0.0926,0.0946,0.2726,0.2822
Jiim,0.0876,0.0974,0.1078,0.3584,0.2924
Jiim,0.0914,0.0706,0.1392,0.3518,0.295
Jiim,0.0788,0.0634,0.1144,0.3904,0.2816
Thaa,1.0884,0.0,0.0,0.0,0.3318
Thaa,0.861,0.0,0.0002,0.0,0.3794
Thaa,0.8298,0.0,0.0,0.0,0.3772
Thaa,0.8226,0.0,0.0,0.0,0.361
Thaa,0.9446,0.0,0.0,0.0,0.2604
Thaa,0.7486,0.0,0.0,0.0,0.3368
Thaa,0.6946,0.0,0.0,0.0,0.366
Thaa,0.6036,0.0,0.0,0.0,0.26
Thaa,0.5714,0.0,0.0,0.0,0.3024
Thaa,0.5172,0.0,0.0,0.0,0.3574
Taa,0.7688,0.367,0.0012000000000000001,0.0,0.187
Taa,0.6904,0.3022,0.0,0.0,0.2266
Taa,0.6196,0.265,0.0,0.0,0.2366
Taa,0.4866,0.26080000000000003,0.0,0.0,0.306
Taa,0.5276000000000001,0.1678,0.0,0.0,0.178
Taa,0.4838,0.195,0.0,0.0,0.2136
Taa,0.5592,0.1804,0.0002,0.0,0.1268
Taa,0.5228,0.1486,0.0,0.0,0.09860000000000001
Taa,0.473,0.1286,0.0,0.0002,0.15
Taa,0.4496,0.12140000000000001,0.0,0.0,0.1754
Baa,0.3952,0.1586,0.493,0.0,0.2602
Baa,0.4484,0.17300000000000001,0.4772,0.0002,0.251
Baa,0.403,0.1416,0.452,0.0,0.1696
Baa,0.4304,0.1332,0.4122,0.0,0.155
Baa,0.419,0.1384,0.3922,0.0002,0.1808
Baa,0.4382,0.1162,0.3646,0.0,0.2158
Baa,0.4286,0.1014,0.3978,0.0,0.2718
Baa,0.4316,0.1178,0.3368,0.0,0.2028
Baa,0.3976,0.10640000000000001,0.33039999999999997,0.0066,0.19820000000000002
Baa,0.3982,0.0954,0.343,0.0072,0.2456
Alif,0.3176,0.546400000000000004,0.2794,0.779,0.0
Alif,0.32080000000000003,0.512,0.2716,0.7926,0.0
Alif,0.396,0.6768,0.3418,0.9492,0.0
Alif,0.3854,0.669,0.2672,0.8484,0.0
Alif,0.42,0.623,0.3068,0.8028,0.0
Alif,0.37,0.7874,0.2636,0.7702,0.0
Alif,0.413,0.6296,0.2626,0.7824,0.0
Alif,0.35459999999999997,0.5928,0.2554,0.764,0.0
Alif,0.3632,0.5416,0.2492,0.7243999999999999,0.0
Alif,0.30619999999999997,0.6008,0.2542,0.7116,0.0
Dhaal,0.4454,0.5028,0.077,0.266,0.0716
Dhaal,0.6882,0.6194,0.102,0.4238,0.0288
Dhaal,0.5652,0.5206000000000001,0.0824,0.3226,0.0204
Dhaal,0.7762,0.6278,0.0718,0.37979999999999997,0.0706
Dhaal,0.3486,0.3432,0.085,0.5402,0.06760000000000001
Dhaal,0.476,0.4672,0.123,0.482,0.0824
Dhaal,0.4404,0.3868,0.1026,0.4668,0.0
Dhaal,0.44680000000000003,0.3814,0.1086,0.6738000000000001,0.0378
Dhaal,0.331,0.3772,0.1054,1.018,0.079
Dhaal,0.2884,0.2668,0.1188,1.04,0.178
Daal,0.4062,0.4392,0.41759999999999997,0.1494,0.068
Daal,0.4088,0.376,0.3928,0.1292,0.0574
Daal,0.415,0.37,0.4182,0.12000000000000001,0.0926
Daal,0.383,0.3074,0.3912,0.1558,0.1444
Daal,0.416,0.3164,0.4134,0.1618,0.0784
Daal,0.4232,0.34040000000000004,0.415,0.16,0.154
Daal,0.4274,0.3384,0.3942,0.08320000000000001,0.1554
Daal,0.3798,0.277,0.3526,0.1452,0.17300000000000001
Daal,0.40599999999999997,0.2852,0.3396,0.1524,0.1776
Daal,0.4194,0.2696,0.3138,0.1504,0.1544
Qaaf,0.2152,0.1376,0.029599999999999998,0.1582,0.3668
Qaaf,0.2222,0.1834,0.023799999999999998,0.1558,0.3382
Qaaf,0.17,0.1258,0.0246,0.1186,0.427
Qaaf,0.2666,0.1984,0.0396,0.1454,0.5478000000000001
Qaaf,0.3114,0.1456,0.0178,0.147,0.5268
Qaaf,0.28700000000000003,0.1872,0.0242,0.1242,0.562
Qaaf,0.2626,0.188,0.0138,0.139,0.733
Qaaf,0.2422,0.24080000000000001,0.097,0.2138,0.5328
Qaaf,0.2158,0.2086,0.1208,0.375,0.4914
Qaaf,0.2834,0.2198,0.12140000000000001,0.3872,0.4602
Ghayn,0.1642,0.242,0.0,0.0534,0.0
Ghayn,0.1358,0.182,0.0,0.026600000000000002,0.0
Ghayn,0.1986,0.2252,0.0,0.0806,0.0
Ghayn,0.14780000000000001,0.346,0.0,0.0734,0.0
Ghayn,0.1252,0.41659999999999997,0.0,0.0,0.0
Ghayn,0.1704,0.5204,0.0012000000000000001,0.06620000000000001,0.0
Ghayn,0.1382,0.4278,0.0014,0.0134,0.0
Ghayn,0.1548,0.1388,0.0,0.0,0.0
Ghayn,0.1384,0.0922,0.0,0.0,0.0
Ghayn,0.161,0.2446,0.0008,0.0012000000000000001,0.0
Zaa,0.4332,0.13920000000000002,0.0,0.0,0.0
Zaa,0.4356,0.208,0.0,0.0,0.0
Zaa,0.3758,0.2446,0.0,0.0,0.0
Zaa,0.2828,0.146,0.0,0.0,0.0
Zaa,0.2646,0.0994,0.0,0.0,0.0
Zaa,0.2806,0.24680000000000002,0.0,0.0,0.0
Zaa,0.3268,0.2596,0.0,0.0,0.0
Zaa,0.3608,0.259,0.0,0.0,0.0
Zaa,0.197,0.1996,0.0,0.0,0.0
Zaa,0.3414,0.1992,0.0,0.0,0.0
Yaa,0.0,0.1374,0.30760000000000004,0.4292,0.0
Yaa,0.0,0.2196,0.4506,0.5854,0.0
Yaa,0.0,0.1186,0.3212,0.4998,0.0
Yaa,0.0,0.1252,0.2394,0.4008,0.0
Yaa,0.0,0.136,0.22920000000000001,0.47459999999999997,0.0
Yaa,0.0,0.1046,0.2374,0.473,0.0
Yaa,0.0,0.0818,0.2674,0.4424,0.0
